Hanji,POJ,English,Chinese
"毋拄好","m̄-tú-hó","Unfortunately.","搞不好、不湊巧。"
"毋挃","m̄-ti̍h","Don't want.","不要。"
"毋捌","m̄ bat","Never.","不曾。"
"毋敢","m̄ káⁿ","Not dare to.","不敢。心中怯懦，以致於不能付諸行動。"
"毋是","m̄ sī","Is not.","不是。"
"毋是勢","m̄-sī-sè","Something is wrong.","不對勁。"
"毋甘","m̄-kam","To be reluctant to part with.","捨不得。"
"毋甘嫌","m̄-kam hiâm","Don't mind (polite).","不嫌棄。通常是在受到稱讚後的謙虛用語。"
"毋甘願","m̄ kam-goān","Unwilling.","不甘心、不甘願。"
"毋知","m̄ chai","Don't know.","不知、不知道。"
"毋知人","m̄-chai-lâng","Unconscious.","昏迷不醒人事。"
"毋知影","m̄ chai-iáⁿ","Don't know.","不知、不知道。"
"毋知死","m̄-chai-sí","Reckless.","不知死活。指不知事情輕重或利害程度，而冒昧行事。"
"毋管","m̄-koán","No matter.","不論、無論。"
"毋著","m̄-tio̍h","Wrong.","不對。"
"毋通","m̄-thang","Should not.","不可以、不要。是一種語氣較委婉的勸說或請求。"
"毋過","m̄-koh","But.","不過、但是。"
"比並","pí-phēng","To compare.","比較。"
"比喻","pí-jū/pí-lū","Metaphor.","譬喻、比方。藉用事物的相同點，說明解釋。"
"比武","pí-bú","To compete in martial arts.","較量武藝或武藝比賽。"
"比論","pí-lūn","For example.","打比方、比如。"
"比較","pí-kàu","To compare.","取兩個以上的事物互相評比他們的高下、輕重、好壞等。"
"毛呼","mô͘-ho͘ⁿ","A type of steamed cake for offerings.","農曆七月盂蘭盆會祭鬼用的一種沒包餡料的糕點。"
"毛尾仔","mn̂g-bóe-á/mn̂g-bé-á","Pigtail.","辮子、馬尾。將頭髮束起或分股交叉編成長條狀。"
"毛毯","mô͘-thán","Woolen blanket.","用毛料製成的毯子。"
"毛病","mô͘-pēⁿ/mô͘-pīⁿ","Fault.","指人或事有不正常的現象。"
"毛管","mn̂g-kńg/mô͘-kńg","Pore.","毛孔。汗腺在皮膚表面上的細孔。"
"毛跤","mn̂g-kha","Hairline.","毛髮的邊際。"
"水井","chúi-chéⁿ/chúi-chíⁿ","Water well.","從地面往下鑿打而成，可以取水的深洞。"
"水仙","chúi-sian","Narcissus.","草本植物。全株有毒，底部的鱗莖略呈倒卵，下端有白色鬚根，冬末春初開白色花，有香味。通常生長在暖地的河邊，或栽植於庭園。"
"水土","chúi-thó͘","Natural environment.","一個地方的氣候、水質與土性等自然環境。"
"水圳","chúi-chùn","Irrigation canal.","專門用來灌溉的人工水路。"
"水庫","chúi-khò͘","Reservoir.","用來儲存大量地面水的人工或半天然建築物。具有廣大的蓄水區域，並有調節水流、灌溉、觀光、發電、飲用水等功能。"
"水拹仔","chúi-hia̍p-á","A hand-operated water pump.","用手上下搖的抽水機。"
"水晶","chúi-chiⁿ","Crystal.","透明的石英晶體，可以製成玻璃、鏡片和美術工藝材料。"
"水果","chúi-kó","Fruit.","含有漿液可以生吃的果實。"
"水梨仔","chúi-lâi-á","A type of pear.","水梨。木本植物，葉子互生，呈卵形或長橢圓形。開白花。果實呈球形，汁多，為一高級水果。"
"水槽","chúi-chô","Sink.","盛水的容器。"
"水母","chúi-bó","Jellyfish.","刺絲胞動物（腔腸動物）。體色為膠質透明，形狀像傘蓋，浮游在海上，夜間能放出燐光。大型水母又叫做「海䖳」(hái-thē)，可經人工脫水、處理後成為食材。"
"水氣","chúi-khì","Moisture.","水分、溼氣。"
"水泉","chúi-chôaⁿ","Spring (water source).","水的源頭、泉水。"
"水源頭","chúi-goân-thâu","The source of a river.","水的發源地。"
"水準","chúi-chún","Standard.","水平。標準、程度。"
"水溝","chúi-kau","Ditch.","疏通流水的溝道。"
"水災","chúi-chai","Flood.","因為雨量過多或河水氾濫所造成的災害。"
"水燈","chúi-teng","A water lantern for ghosts.","普渡的時候放在水中的燈籠，用來指引無主孤魂上岸享用祭品。"
"水牛","chúi-gû","Water buffalo.","哺乳動物。體型大，毛色灰黑，擅長耕田。原產於中國南方及印度，荷蘭統治臺灣時自閩南地區引進。"
"水珠","chúi-chu","Chickenpox.","病名。由濾過性病毒引發的急性傳染病。通常經由接觸或飛沫傳染，潛伏期約二至三週，症狀為出疱疹、發燒、全身無力、食慾不振等。流行季節約在初春，以二至六歲的幼童較易感染，病癒後具有終生免疫力。"
"水產","chúi-sán","Aquatic products.","水裡所出產的動物、植物、礦物等具有經濟價值的東西。"
"水田","chúi-chhân","Paddy field.","種植水稻的田，有蓄水保溫以保護稻苗的功用。"
"水疱","chúi-phā","Blister.","水泡。潦漿泡、潦泡。皮膚表皮因為受傷而形成的淋巴液泡。"
"水筆仔","chúi-pit-á","Kandelia (a mangrove plant).","水生植物。花白色，果實為圓椎形，成熟尚未脫離母體，種子便發芽生出細長的根，掉落泥中便成為一株小樹。多分布在熱帶和亞熱帶的河口、沼澤地，沿海地區亦有生長。"
"水管","chúi-kóng","Water pipe.","水流通的管子。"
"水紅仔色","chúi-âng-á-sek","Light red.","淺紅色，由紅和白混合成的顏色。"
"水芋仔","chúi-ō͘-á","Water hyacinth.","布袋蓮。水生植物。浮生在水面，葉子倒卵形，根垂生水中，可做鴨子的飼料。"
"水蜜桃","chúi-bi̍t-thô","A type of peach.","瓜果類。桃子的一種，多出產於臺灣東部及梨山等地。味道甜美，是高經濟收益的水果。"
"水貨","chúi-hòe/chúi-hè","Smuggled goods.","從海外以不合法的途徑所夾帶進來販售的貨物。"
"水車","chúi-chhia","A waterwheel.","利用流水的力量，帶動輪葉迴轉，用來灌溉或推動其他器具的機器裝置。"
"水道","chúi-tō","Waterway.","航道、溝渠。天然或人工的通水路線。源自日語「水道（すいどう）」。"
"水道水","chúi-tō-chúi","Tap water.","自來水。"
"水道頭","chúi-tō-thâu","Faucet.","水龍頭。控制自來水管出水的控制閥。"
"水銀","chúi-gîn/chúi-gûn","Mercury.","汞。金屬名稱。在常溫下唯一的液態金屬，顏色為銀色，可以像水一樣流動，所以叫做「水銀」。容易揮發，蒸氣有劇毒，可以作成溫度計、醫藥用品等。"
"水門","chúi-mn̂g","Sluice gate.","用以調節水位，控制水流流量的閘門。"
"水閘","chúi-cha̍h","Sluice gate.","用以調節水位，控制水流流量的閘門。"
"水電","chúi-tiān","Plumbing and electricity.","指有關水管、電線管路配線的工作。"
"水餃","chúi-kiáu","Dumpling.","餃子。以薄麵皮包餡，用水煮熟食用的傳統食品。"
"清明","chheng-bêng/chhiⁿ-miâ","Clear and Bright (solar term).","約當國曆四月四日或五日，民眾通常會在這一天掃墓。"
"白露","pe̍h-lō͘","White Dew (solar term).","約當國曆九月八日前後。"
"秋分","chhiu-hun","Autumn Equinox (solar term).","約當國曆九月二十二、二十三或二十四日，這一天南北半球的晝夜長短平均。"
"穀雨","kok-ú","Grain Rain (solar term).","約當國曆四月廿日或廿一日。此時約進入梅雨季，農事上非常需要雨水。"
"立冬","li̍p-tang","Start of Winter (solar term).","約當國曆十一月七日或八日。這一天是冬季的開始，民間常藉機進補。"
"立夏","li̍p-hē","Start of Summer (solar term).","約當國曆五月六日或七日。這一天是夏季的開始。"
"立春","li̍p-chhun","Start of Spring (solar term).","約當國曆二月四日或五日，這一天是春季的開始。"
"立秋","li̍p-chhiu","Start of Autumn (solar term).","約當國曆八月七日、八日或九日。這一天是秋季的開始。"
"芒種","bông-chéng","Grain in Ear (solar term).","約當國曆六月六日或六月七日。因為在這個時節穀物會開出芒花，所以稱為「芒種」。"
"處暑","chhù-sú","End of Heat (solar term).","約當國曆八月廿三或廿四日。時序上雖已入秋，但天氣仍十分炎熱，且仍屬颱風季節。"
"記持","kì-tî","Memory.","記憶、記性。"
"雨水","ú-súi","Rain Water (solar term).","約當國曆二月十九或二十日。從這天開始，氣溫開始回暖，空氣中溼度也提高，下雨的機率自然也就大大地增加。"
"霜降","sng-kàng","Frost's Descent (solar term).","約當國曆十月二十三或二十四日。"
"驚蟄","keⁿ-ti̍t","Awakening of Insects (solar term).","約當國曆三月五日或六日。乃春雷響，驚動冬眠動物的時候。"
"台灣","Tâi-oân","Taiwan","臺灣本島，文化與地理身份"
"台灣人","Tâi-oân-lâng","Taiwanese person","臺灣居民，具文化或政治認同"
"台語","Tâi-gí","Taiwanese language","臺語"
"台灣話","Tâi-oân-ōe","Taiwanese speech","台灣話，一般指台語。"
"藏水艦","chhàng-chúi-lām","Submarine","潛水艇，現代軍事裝備"
"玉山","Gio̍k-san","Jade Mountain","臺灣最高峰，海拔3952公尺"
"濁水溪","Lô-chúi-khe","Lochui River","臺灣最長的河流"
"淡水河","Tām-suí-hô","Tamsui River","流經臺北的重要河川，歷史貿易路線"
"那…那…","ná...ná...","while… (at the same time)….",""
"白話字","Pe̍h-ōe-jī","Taiwanese Vernacular Script","白話字"
"gâu早","gâu chá","Good morning","早安"
"食飽未","chia̍h-pá-bē/chia̍h-pá--bōe","How are you?","你好嗎？(通常不是真的問吃飽了沒)"
"缷世缷衆","sià-sì-sià-chèng","disgraceful","卸世卸眾"
